id,boltz_pp,esm3_ptm,chai_pp,af3_pp,track1_af3only,track2_af3chai,track3_all4,track4_rank_sum,track5_chai_only
8,0.5136473476886749,0.9335413575172424,0.19832285,0.19333333333333333,0.19333333333333333,0.19582808,0.4597112,41,0.19832285
68,0.45523155728975934,0.9144587516784668,0.113951564,0.19333333333333333,0.19333333333333333,0.15364245,0.4192438,83,0.113951564
155,0.38146965205669403,0.9370489120483398,0.12353352,0.3233333333333333,0.3233333333333333,0.22343342,0.44134635,45,0.12353352
154,0.38109124203523,0.9359407424926758,0.1361331,0.19666666666666666,0.19666666666666666,0.1663999,0.41245794,61,0.1361331
131,0.3807721734046936,0.9223998188972473,0.17020272,0.3433333333333333,0.3433333333333333,0.25676802,0.45417702,14,0.17020272
9,0.3300759792327881,0.9362828135490417,0.13080491,0.25,0.25,0.19040245,0.4117909,47,0.13080491
122,0.2860196928183238,0.93738853931427,0.11501569,0.16,0.16,0.13750784,0.37460598,91,0.11501569
27,0.4582025359074275,0.9354339241981506,0.16149968,0.21,0.21,0.18574983,0.44128403,44,0.16149968
78,0.3201681425174077,0.9366517066955566,0.120613515,0.22666666666666666,0.22666666666666666,0.1736401,0.401025,64,0.120613515
47,0.3193691422541936,0.9352087378501892,0.21207286,0.21666666666666665,0.21666666666666665,0.21436977,0.42082936,31,0.21207286
103,0.2743714253107707,0.9367075562477112,0.1275129,0.4033333333333333,0.4033333333333333,0.26542312,0.4354813,35,0.1275129
116,0.3999070425828298,0.9340496063232422,0.19123983,0.32,0.32,0.2556199,0.46129912,14,0.19123983
40,0.3562738448381424,0.9267011880874634,0.5802844,0.2733333333333334,0.2733333333333334,0.4268089,0.5341482,14,0.5802844
58,0.3837418208519618,0.9393278360366821,0.13833843,0.2233333333333333,0.2233333333333333,0.18083587,0.42118534,49,0.13833843
134,0.2973201970259349,0.9321950674057007,0.16990729,0.35333333333333333,0.35333333333333333,0.2616203,0.43818897,14,0.16990729
53,0.532081147034963,0.9192423820495605,0.13587503,0.16,0.16,0.1479375,0.43679965,76,0.13587503
150,0.4167512059211731,0.8989884257316589,0.11403203,0.21666666666666667,0.21666666666666667,0.16534935,0.4116096,71,0.11403203
163,0.4461229244867961,0.9360884428024292,0.11623216,0.18666666666666668,0.18666666666666668,0.15144941,0.42127755,81,0.11623216
12,0.36259497205416363,0.9353794455528259,0.13854633,0.37666666666666665,0.37666666666666665,0.2576065,0.45329684,26,0.13854633
161,0.44596266249815625,0.9256400465965271,0.13665423,0.14666666666666664,0.14666666666666664,0.14166045,0.41373092,76,0.13665423
152,0.3405580371618271,0.9342636466026306,0.1422696,0.22666666666666668,0.22666666666666668,0.18446814,0.4109395,42,0.1422696
189,0.47289008398850757,0.9328256249427795,0.13494568,0.19999999999999998,0.19999999999999998,0.16747284,0.43516535,60,0.13494568
6,0.4773240884145101,0.919249951839447,0.16659933,0.27666666666666667,0.27666666666666667,0.221633,0.45996,24,0.16659933
117,0.4259823610385259,0.9313896894454956,0.11358619,0.15333333333333335,0.15333333333333335,0.13345976,0.40607288,96,0.11358619
114,0.5889190336068472,0.9368776679039001,0.12366865,0.17666666666666667,0.17666666666666667,0.15016766,0.456533,80,0.12366865
113,0.39219793677330017,0.935114860534668,0.16541089,0.24666666666666667,0.24666666666666667,0.20603877,0.4348476,30,0.16541089
